order_id,product_id,quantity,unit_price,unit_cost,discount_pct,line_revenue
500033,1002,1,168.08,101.07,0.0,168.08
500033,1010,1,101.38,59.23,0.0,101.38
500034,1014,1,47.47,25.6,0.2,47.47
500035,1018,1,116.56,54.7,0.0,116.56
500036,1015,1,20.76,17.72,0.3,20.76
500037,1028,2,92.15,71.76,0.2,184.3
500038,1016,1,85.75,57.59,0.0,85.75
500039,1023,1,53.81,45.15,0.25,53.81
500040,1031,1,109.6,59.46,0.0,109.6
500040,1020,1,69.25,41.15,0.0,69.25
500040,1007,1,73.39,51.69,0.1,73.39
500041,1013,2,75.61,41.86,0.15,151.22
500042,1008,1,41.92,28.69,0.3,41.92
500042,1020,1,69.25,41.15,0.0,69.25
500042,1031,1,109.6,59.46,0.0,109.6
500043,1025,1,47.94,27.34,0.2,47.94
500044,1014,1,56.37,25.6,0.05,56.37
500044,1009,1,68.31,31.39,0.05,68.31
500045,1001,1,139.46,82.77,0.1,139.46
500046,1006,1,87.85,61.12,0.05,87.85
500047,1014,1,50.44,25.6,0.15,50.44
500048,1001,1,147.21,82.77,0.05,147.21
500049,1033,1,83.58,58.92,0.2,83.58
500049,1026,1,19.61,9.19,0.1,19.61
500050,1020,1,58.86,41.15,0.15,58.86
500050,1005,1,49.37,29.47,0.1,49.37
500051,1014,1,56.37,25.6,0.05,56.37
500051,1022,1,161.55,80.97,0.0,161.55
500052,1010,2,91.24,59.23,0.1,182.48
500053,1022,2,145.4,80.97,0.1,290.8
500054,1014,1,59.34,25.6,0.0,59.34
500055,1002,1,142.87,101.07,0.15,142.87
500056,1013,1,71.16,41.86,0.2,71.16
500056,1025,1,59.92,27.34,0.0,59.92
500057,1026,2,19.61,9.19,0.1,39.22
500057,1003,2,44.64,33.41,0.1,89.28
500058,1018,1,116.56,54.7,0.0,116.56
500059,1032,1,70.44,58.13,0.25,70.44
500060,1015,1,26.69,17.72,0.1,26.69
500061,1026,1,20.7,9.19,0.05,20.7
500061,1023,1,68.16,45.15,0.05,68.16
500062,1014,1,56.37,25.6,0.05,56.37
500063,1012,1,87.63,76.2,0.25,87.63
500063,1033,1,104.48,58.92,0.0,104.48
500063,1013,1,71.16,41.86,0.2,71.16
500064,1001,1,139.46,82.77,0.1,139.46
500065,1007,1,77.46,51.69,0.05,77.46
500065,1027,1,68.17,40.42,0.0,68.17
500066,1031,1,98.64,59.46,0.1,98.64
500066,1003,1,44.64,33.41,0.1,44.64
500066,1031,1,87.68,59.46,0.2,87.68
500067,1002,1,168.08,101.07,0.0,168.08
500068,1032,1,93.92,58.13,0.0,93.92
500069,1026,2,19.61,9.19,0.1,39.22
500069,1008,1,59.89,28.69,0.0,59.89
500070,1018,1,93.25,54.7,0.2,93.25
500071,1025,1,56.92,27.34,0.05,56.92
500072,1014,1,50.44,25.6,0.15,50.44
500073,1016,1,85.75,57.59,0.0,85.75
500073,1019,2,50.33,27.36,0.0,100.66
500073,1033,1,99.26,58.92,0.05,99.26
500073,1017,1,32.16,23.72,0.3,32.16
500074,1010,2,101.38,59.23,0.0,202.76
500075,1018,1,110.73,54.7,0.05,110.73
500075,1029,1,69.98,44.16,0.1,69.98
500075,1010,1,86.17,59.23,0.15,86.17
500076,1001,1,131.72,82.77,0.15,131.72
500077,1033,1,104.48,58.92,0.0,104.48
500078,1010,1,101.38,59.23,0.0,101.38
500079,1018,1,110.73,54.7,0.05,110.73
500080,1021,1,110.24,70.17,0.0,110.24
500080,1022,1,153.47,80.97,0.05,153.47
500080,1024,1,31.12,18.12,0.15,31.12
500080,1032,1,93.92,58.13,0.0,93.92
500081,1004,1,152.98,95.52,0.0,152.98
500081,1018,1,110.73,54.7,0.05,110.73
500082,1009,1,71.9,31.39,0.0,71.9
500082,1033,1,88.81,58.92,0.15,88.81
500082,1029,1,73.87,44.16,0.05,73.87
500083,1005,1,54.86,29.47,0.0,54.86
500084,1026,1,21.79,9.19,0.0,21.79
500084,1027,1,47.72,40.42,0.3,47.72
500085,1011,1,89.18,48.08,0.05,89.18
500086,1009,1,61.12,31.39,0.15,61.12
500086,1030,1,27.79,13.16,0.05,27.79
500086,1018,1,116.56,54.7,0.0,116.56
500087,1005,1,54.86,29.47,0.0,54.86
500088,1003,1,49.6,33.41,0.0,49.6
500089,1002,1,134.46,101.07,0.2,134.46
500089,1014,1,59.34,25.6,0.0,59.34
500089,1015,1,26.69,17.72,0.1,26.69
500090,1032,2,70.44,58.13,0.25,140.88
500091,1004,1,152.98,95.52,0.0,152.98
500092,1011,1,65.71,48.08,0.3,65.71
500092,1021,1,82.68,70.17,0.25,82.68
500093,1009,1,61.12,31.39,0.15,61.12
500093,1031,1,93.16,59.46,0.15,93.16
500094,1032,1,70.44,58.13,0.25,70.44
500095,1007,1,61.16,51.69,0.25,61.16
500096,1026,1,16.34,9.19,0.25,16.34
500096,1015,3,26.69,17.72,0.1,80.07
500097,1033,1,94.03,58.92,0.1,94.03
500097,1005,2,54.86,29.47,0.0,109.72
500097,1008,1,53.9,28.69,0.1,53.9
500098,1011,2,65.71,48.08,0.3,131.42
500099,1003,1,49.6,33.41,0.0,49.6
500100,1014,1,56.37,25.6,0.05,56.37
500100,1005,1,38.4,29.47,0.3,38.4
500101,1013,1,88.95,41.86,0.0,88.95
500101,1011,1,65.71,48.08,0.3,65.71
500101,1023,1,68.16,45.15,0.05,68.16
500102,1009,2,53.92,31.39,0.25,107.84
500102,1016,1,85.75,57.59,0.0,85.75
500102,1002,1,168.08,101.07,0.0,168.08
500103,1029,1,66.1,44.16,0.15,66.1
500104,1020,1,55.4,41.15,0.2,55.4
500105,1032,1,93.92,58.13,0.0,93.92
500106,1019,1,47.81,27.36,0.05,47.81
500106,1002,1,168.08,101.07,0.0,168.08
500107,1022,1,153.47,80.97,0.05,153.47
500108,1018,1,99.08,54.7,0.15,99.08
500108,1012,1,105.16,76.2,0.1,105.16
500108,1015,1,26.69,17.72,0.1,26.69
500109,1010,1,91.24,59.23,0.1,91.24
500110,1007,1,73.39,51.69,0.1,73.39
500111,1027,1,61.35,40.42,0.1,61.35
500112,1014,1,50.44,25.6,0.15,50.44
500112,1027,1,57.94,40.42,0.15,57.94
500113,1032,1,93.92,58.13,0.0,93.92
500113,1006,1,69.35,61.12,0.25,69.35
500114,1014,2,47.47,25.6,0.2,94.94
500114,1029,1,73.87,44.16,0.05,73.87
500115,1006,1,92.47,61.12,0.0,92.47
500115,1027,1,54.54,40.42,0.2,54.54
500115,1025,1,53.93,27.34,0.1,53.93
500115,1023,1,64.58,45.15,0.1,64.58
500116,1032,1,93.92,58.13,0.0,93.92
500116,1032,1,79.83,58.13,0.15,79.83
500117,1017,1,41.36,23.72,0.1,41.36
500118,1032,1,75.14,58.13,0.2,75.14
500118,1001,1,154.96,82.77,0.0,154.96
500118,1002,1,168.08,101.07,0.0,168.08
500119,1004,1,122.38,95.52,0.2,122.38
500119,1021,1,110.24,70.17,0.0,110.24
500120,1014,1,59.34,25.6,0.0,59.34
500120,1023,1,64.58,45.15,0.1,64.58
500120,1009,1,53.92,31.39,0.25,53.92
500121,1032,1,79.83,58.13,0.15,79.83
500122,1030,1,23.4,13.16,0.2,23.4
500123,1018,1,110.73,54.7,0.05,110.73
500124,1030,2,27.79,13.16,0.05,55.58
500124,1027,1,57.94,40.42,0.15,57.94
500124,1030,2,24.86,13.16,0.15,49.72
500125,1011,1,89.18,48.08,0.05,89.18
500125,1007,1,81.54,51.69,0.0,81.54
500125,1001,1,147.21,82.77,0.05,147.21
500126,1018,1,104.9,54.7,0.1,104.9
500127,1029,1,69.98,44.16,0.1,69.98
500127,1028,1,103.67,71.76,0.1,103.67
500127,1012,1,105.16,76.2,0.1,105.16
500128,1021,1,110.24,70.17,0.0,110.24
500128,1023,1,71.75,45.15,0.0,71.75
500128,1017,1,45.95,23.72,0.0,45.95
500129,1022,1,161.55,80.97,0.0,161.55
500129,1031,1,104.12,59.46,0.05,104.12
500129,1004,2,130.03,95.52,0.15,260.06
500130,1021,1,88.19,70.17,0.2,88.19
500131,1013,1,75.61,41.86,0.15,75.61
500131,1025,1,50.93,27.34,0.15,50.93
500132,1010,1,96.31,59.23,0.05,96.31
500132,1001,1,147.21,82.77,0.05,147.21
500133,1016,1,77.18,57.59,0.1,77.18
500133,1023,1,68.16,45.15,0.05,68.16
500134,1007,1,69.31,51.69,0.15,69.31
500134,1025,2,53.93,27.34,0.1,107.86
500135,1011,1,93.87,48.08,0.0,93.87
500136,1002,1,142.87,101.07,0.15,142.87
500137,1031,1,82.2,59.46,0.25,82.2
500138,1011,1,79.79,48.08,0.15,79.79
500138,1023,1,57.4,45.15,0.2,57.4
500138,1013,2,88.95,41.86,0.0,177.9
500139,1023,1,71.75,45.15,0.0,71.75
500140,1022,1,161.55,80.97,0.0,161.55
500140,1031,1,109.6,59.46,0.0,109.6
500141,1018,1,116.56,54.7,0.0,116.56
500142,1032,1,79.83,58.13,0.15,79.83
500142,1026,2,16.34,9.19,0.25,32.68
500142,1024,1,36.61,18.12,0.0,36.61
500142,1004,1,145.33,95.52,0.05,145.33
500143,1011,1,70.4,48.08,0.25,70.4
500143,1011,1,93.87,48.08,0.0,93.87
500143,1023,1,64.58,45.15,0.1,64.58
500144,1004,1,152.98,95.52,0.0,152.98
500145,1017,3,45.95,23.72,0.0,137.85
500146,1005,1,54.86,29.47,0.0,54.86
500146,1030,1,27.79,13.16,0.05,27.79
500146,1001,1,154.96,82.77,0.0,154.96
500147,1032,1,84.53,58.13,0.1,84.53
500148,1029,1,69.98,44.16,0.1,69.98
500148,1032,1,89.22,58.13,0.05,89.22
500149,1031,1,98.64,59.46,0.1,98.64
500149,1021,1,88.19,70.17,0.2,88.19
500150,1016,1,81.46,57.59,0.05,81.46
500151,1004,1,145.33,95.52,0.05,145.33
500151,1029,1,77.76,44.16,0.0,77.76
500151,1003,1,47.12,33.41,0.05,47.12
500152,1027,1,54.54,40.42,0.2,54.54
500153,1032,1,89.22,58.13,0.05,89.22
500153,1033,2,78.36,58.92,0.25,156.72
500153,1010,1,96.31,59.23,0.05,96.31
500154,1031,3,109.6,59.46,0.0,328.8
500154,1015,2,28.18,17.72,0.05,56.36
500154,1027,1,54.54,40.42,0.2,54.54
500154,1024,2,31.12,18.12,0.15,62.24
500155,1018,1,116.56,54.7,0.0,116.56
500156,1017,1,41.36,23.72,0.1,41.36
500156,1011,1,70.4,48.08,0.25,70.4
500157,1021,1,99.22,70.17,0.1,99.22
500157,1029,1,77.76,44.16,0.0,77.76
500158,1029,1,77.76,44.16,0.0,77.76
500158,1030,1,26.32,13.16,0.1,26.32
500159,1031,1,93.16,59.46,0.15,93.16
500160,1011,1,89.18,48.08,0.05,89.18
500160,1002,1,117.66,101.07,0.3,117.66
500161,1018,1,99.08,54.7,0.15,99.08
500161,1001,1,147.21,82.77,0.05,147.21
500161,1003,1,49.6,33.41,0.0,49.6
500162,1011,1,79.79,48.08,0.15,79.79
500163,1030,1,29.25,13.16,0.0,29.25
500164,1006,1,92.47,61.12,0.0,92.47
500165,1033,1,99.26,58.92,0.05,99.26
500166,1011,1,79.79,48.08,0.15,79.79
500166,1005,1,54.86,29.47,0.0,54.86
500166,1033,1,88.81,58.92,0.15,88.81
500166,1008,1,47.91,28.69,0.2,47.91
500167,1033,1,83.58,58.92,0.2,83.58
500167,1018,1,99.08,54.7,0.15,99.08
500168,1024,1,34.78,18.12,0.05,34.78
500168,1027,1,68.17,40.42,0.0,68.17
500168,1004,1,137.68,95.52,0.1,137.68
500169,1016,1,85.75,57.59,0.0,85.75
500169,1018,1,116.56,54.7,0.0,116.56
500170,1020,1,62.32,41.15,0.1,62.32
500170,1010,1,91.24,59.23,0.1,91.24
500171,1018,1,99.08,54.7,0.15,99.08
500171,1025,1,56.92,27.34,0.05,56.92
500171,1008,1,56.9,28.69,0.05,56.9
500172,1017,1,43.65,23.72,0.05,43.65
500173,1008,1,59.89,28.69,0.0,59.89
500174,1018,2,87.42,54.7,0.25,174.84
500175,1016,1,72.89,57.59,0.15,72.89
500175,1022,1,121.16,80.97,0.25,121.16
500175,1004,1,114.73,95.52,0.25,114.73
500176,1012,1,116.84,76.2,0.0,116.84
500176,1009,1,64.71,31.39,0.1,64.71
500176,1009,1,64.71,31.39,0.1,64.71
500177,1027,1,64.76,40.42,0.05,64.76
500177,1012,1,87.63,76.2,0.25,87.63
500177,1001,1,154.96,82.77,0.0,154.96
500178,1001,1,154.96,82.77,0.0,154.96
500179,1029,1,62.21,44.16,0.2,62.21
500180,1018,1,99.08,54.7,0.15,99.08
500180,1019,1,50.33,27.36,0.0,50.33
500180,1001,1,154.96,82.77,0.0,154.96
500181,1005,1,54.86,29.47,0.0,54.86
500182,1011,1,84.48,48.08,0.1,84.48
500182,1027,1,61.35,40.42,0.1,61.35
500182,1029,1,73.87,44.16,0.05,73.87
500183,1004,1,107.09,95.52,0.3,107.09
500183,1019,1,40.26,27.36,0.2,40.26
500184,1021,1,110.24,70.17,0.0,110.24
500185,1018,1,104.9,54.7,0.1,104.9
500185,1031,1,98.64,59.46,0.1,98.64
500186,1017,1,43.65,23.72,0.05,43.65
500187,1012,1,99.31,76.2,0.15,99.31
500188,1028,2,115.19,71.76,0.0,230.38
500188,1021,1,104.73,70.17,0.05,104.73
500189,1032,1,89.22,58.13,0.05,89.22
500190,1033,1,88.81,58.92,0.15,88.81
500191,1025,1,59.92,27.34,0.0,59.92
500192,1027,1,68.17,40.42,0.0,68.17
500192,1005,2,54.86,29.47,0.0,109.72
500193,1013,2,75.61,41.86,0.15,151.22
500193,1005,1,54.86,29.47,0.0,54.86
500193,1021,1,110.24,70.17,0.0,110.24
500194,1010,1,91.24,59.23,0.1,91.24
500195,1004,1,152.98,95.52,0.0,152.98
500196,1012,1,99.31,76.2,0.15,99.31
500197,1001,1,154.96,82.77,0.0,154.96
500197,1021,1,93.7,70.17,0.15,93.7
500198,1010,1,96.31,59.23,0.05,96.31
500199,1022,1,137.32,80.97,0.15,137.32
500200,1028,1,97.91,71.76,0.15,97.91
500201,1002,2,134.46,101.07,0.2,268.92
500202,1033,1,94.03,58.92,0.1,94.03
500203,1007,1,73.39,51.69,0.1,73.39
500203,1018,1,116.56,54.7,0.0,116.56
500204,1009,1,71.9,31.39,0.0,71.9
500205,1029,2,73.87,44.16,0.05,147.74
500205,1028,1,92.15,71.76,0.2,92.15
500206,1006,1,78.6,61.12,0.15,78.6
500206,1027,1,64.76,40.42,0.05,64.76
500206,1020,1,65.79,41.15,0.05,65.79
500207,1009,1,71.9,31.39,0.0,71.9
500207,1007,1,81.54,51.69,0.0,81.54
500208,1011,1,84.48,48.08,0.1,84.48
500208,1001,1,154.96,82.77,0.0,154.96
500209,1012,1,116.84,76.2,0.0,116.84
500209,1015,1,29.66,17.72,0.0,29.66
500210,1024,1,32.95,18.12,0.1,32.95
500210,1005,1,52.12,29.47,0.05,52.12
500210,1005,1,46.63,29.47,0.15,46.63
500210,1011,1,84.48,48.08,0.1,84.48
500211,1007,1,61.16,51.69,0.25,61.16
500212,1032,1,89.22,58.13,0.05,89.22
500213,1009,1,50.33,31.39,0.3,50.33
500214,1004,1,137.68,95.52,0.1,137.68
500214,1002,1,142.87,101.07,0.15,142.87
500215,1009,3,64.71,31.39,0.1,194.13
500215,1022,1,161.55,80.97,0.0,161.55
500216,1003,1,37.2,33.41,0.25,37.2
500217,1002,1,142.87,101.07,0.15,142.87
500217,1004,1,152.98,95.52,0.0,152.98
500217,1018,2,116.56,54.7,0.0,233.12
500218,1001,1,154.96,82.77,0.0,154.96
500218,1026,1,21.79,9.19,0.0,21.79
500219,1009,1,71.9,31.39,0.0,71.9
500220,1005,1,54.86,29.47,0.0,54.86
500221,1013,1,88.95,41.86,0.0,88.95
500221,1021,1,104.73,70.17,0.05,104.73
500222,1004,1,145.33,95.52,0.05,145.33
500222,1025,1,53.93,27.34,0.1,53.93
500222,1024,1,36.61,18.12,0.0,36.61
500222,1010,1,91.24,59.23,0.1,91.24
500223,1014,1,56.37,25.6,0.05,56.37
500223,1003,1,47.12,33.41,0.05,47.12
500224,1006,1,92.47,61.12,0.0,92.47
500224,1017,2,45.95,23.72,0.0,91.9
500224,1016,1,85.75,57.59,0.0,85.75
500225,1017,2,45.95,23.72,0.0,91.9
500226,1026,1,21.79,9.19,0.0,21.79
500226,1033,1,104.48,58.92,0.0,104.48
500226,1002,2,168.08,101.07,0.0,336.16
500227,1031,1,109.6,59.46,0.0,109.6
500228,1008,2,59.89,28.69,0.0,119.78
500229,1014,1,47.47,25.6,0.2,47.47
500229,1031,1,93.16,59.46,0.15,93.16
500229,1008,1,41.92,28.69,0.3,41.92
500230,1012,1,116.84,76.2,0.0,116.84
500231,1024,1,32.95,18.12,0.1,32.95
500232,1012,1,116.84,76.2,0.0,116.84
500232,1018,1,116.56,54.7,0.0,116.56
500232,1025,1,56.92,27.34,0.05,56.92
500233,1028,1,115.19,71.76,0.0,115.19
500234,1030,1,29.25,13.16,0.0,29.25
500235,1015,3,28.18,17.72,0.05,84.54
500235,1016,1,85.75,57.59,0.0,85.75
500236,1033,1,99.26,58.92,0.05,99.26
500236,1022,1,161.55,80.97,0.0,161.55
500237,1027,1,68.17,40.42,0.0,68.17
500238,1031,1,109.6,59.46,0.0,109.6
500239,1033,1,94.03,58.92,0.1,94.03
500239,1027,2,64.76,40.42,0.05,129.52
500240,1031,1,87.68,59.46,0.2,87.68
500240,1017,1,39.06,23.72,0.15,39.06
500241,1005,2,43.89,29.47,0.2,87.78
500242,1011,1,89.18,48.08,0.05,89.18
500242,1022,1,153.47,80.97,0.05,153.47
500243,1012,1,116.84,76.2,0.0,116.84
500243,1010,2,76.04,59.23,0.25,152.08
500243,1005,1,52.12,29.47,0.05,52.12
500243,1008,1,59.89,28.69,0.0,59.89
500244,1020,1,55.4,41.15,0.2,55.4
500245,1032,1,79.83,58.13,0.15,79.83
500245,1022,2,161.55,80.97,0.0,323.1
500245,1016,1,72.89,57.59,0.15,72.89
500246,1001,1,147.21,82.77,0.05,147.21
500246,1001,3,154.96,82.77,0.0,464.88
500247,1033,1,99.26,58.92,0.05,99.26
500247,1031,1,98.64,59.46,0.1,98.64
500248,1031,1,109.6,59.46,0.0,109.6
500249,1016,1,85.75,57.59,0.0,85.75
500249,1003,1,47.12,33.41,0.05,47.12
500250,1029,1,77.76,44.16,0.0,77.76
500250,1007,1,77.46,51.69,0.05,77.46
500250,1017,1,45.95,23.72,0.0,45.95
500250,1023,1,68.16,45.15,0.05,68.16
500251,1002,1,168.08,101.07,0.0,168.08
500252,1012,1,87.63,76.2,0.25,87.63
500253,1003,1,44.64,33.41,0.1,44.64
500254,1014,1,56.37,25.6,0.05,56.37
500255,1026,1,21.79,9.19,0.0,21.79
500255,1015,1,23.73,17.72,0.2,23.73
500255,1006,1,83.22,61.12,0.1,83.22
500255,1027,1,54.54,40.42,0.2,54.54
500256,1014,1,41.54,25.6,0.3,41.54
500257,1025,2,53.93,27.34,0.1,107.86
500257,1017,1,45.95,23.72,0.0,45.95
500257,1012,1,111.0,76.2,0.05,111.0
500258,1003,1,49.6,33.41,0.0,49.6
500258,1024,2,36.61,18.12,0.0,73.22
500259,1001,1,154.96,82.77,0.0,154.96
500259,1017,1,41.36,23.72,0.1,41.36
500259,1023,1,57.4,45.15,0.2,57.4
500259,1018,1,116.56,54.7,0.0,116.56
500260,1013,1,88.95,41.86,0.0,88.95
500261,1017,1,45.95,23.72,0.0,45.95
500261,1007,1,81.54,51.69,0.0,81.54
500262,1024,1,32.95,18.12,0.1,32.95
500262,1030,1,29.25,13.16,0.0,29.25
500262,1030,1,26.32,13.16,0.1,26.32
500263,1008,1,59.89,28.69,0.0,59.89
500264,1016,1,81.46,57.59,0.05,81.46
500264,1012,1,116.84,76.2,0.0,116.84
500264,1010,1,96.31,59.23,0.05,96.31
500265,1010,2,81.1,59.23,0.2,162.2
500265,1026,1,16.34,9.19,0.25,16.34
500266,1018,1,87.42,54.7,0.25,87.42
500266,1031,1,98.64,59.46,0.1,98.64
500266,1024,1,31.12,18.12,0.15,31.12
500267,1019,2,42.78,27.36,0.15,85.56
500268,1018,1,87.42,54.7,0.25,87.42
500269,1016,1,68.6,57.59,0.2,68.6
500269,1018,1,116.56,54.7,0.0,116.56
500270,1013,1,88.95,41.86,0.0,88.95
500270,1016,1,81.46,57.59,0.05,81.46
500270,1020,1,69.25,41.15,0.0,69.25
500271,1020,1,69.25,41.15,0.0,69.25
500272,1004,1,145.33,95.52,0.05,145.33
500272,1027,1,68.17,40.42,0.0,68.17
500273,1026,1,21.79,9.19,0.0,21.79
500273,1006,1,92.47,61.12,0.0,92.47
500273,1024,1,36.61,18.12,0.0,36.61
500274,1011,1,89.18,48.08,0.05,89.18
500274,1015,1,23.73,17.72,0.2,23.73
500275,1028,3,109.43,71.76,0.05,328.29
500275,1010,1,101.38,59.23,0.0,101.38
500276,1020,1,58.86,41.15,0.15,58.86
500276,1033,1,104.48,58.92,0.0,104.48
500276,1030,1,29.25,13.16,0.0,29.25
500277,1021,1,110.24,70.17,0.0,110.24
500277,1019,1,47.81,27.36,0.05,47.81
500278,1010,2,101.38,59.23,0.0,202.76
500278,1024,1,36.61,18.12,0.0,36.61
500279,1024,1,31.12,18.12,0.15,31.12
500279,1027,1,64.76,40.42,0.05,64.76
500279,1006,1,83.22,61.12,0.1,83.22
500280,1030,2,29.25,13.16,0.0,58.5
500280,1012,1,116.84,76.2,0.0,116.84
500280,1007,1,81.54,51.69,0.0,81.54
500281,1001,1,139.46,82.77,0.1,139.46
500281,1001,1,131.72,82.77,0.15,131.72
500282,1011,1,79.79,48.08,0.15,79.79
500282,1001,1,154.96,82.77,0.0,154.96
500282,1009,1,71.9,31.39,0.0,71.9
500283,1016,1,85.75,57.59,0.0,85.75
500284,1026,1,17.43,9.19,0.2,17.43
500284,1024,1,27.46,18.12,0.25,27.46
500284,1009,2,57.52,31.39,0.2,115.04
500284,1018,1,93.25,54.7,0.2,93.25
500285,1001,1,154.96,82.77,0.0,154.96
500286,1010,1,81.1,59.23,0.2,81.1
500286,1001,1,123.97,82.77,0.2,123.97
500287,1032,1,93.92,58.13,0.0,93.92
500287,1018,1,116.56,54.7,0.0,116.56
500288,1015,1,26.69,17.72,0.1,26.69
500288,1019,1,45.3,27.36,0.1,45.3
500289,1016,2,77.18,57.59,0.1,154.36
500290,1015,1,29.66,17.72,0.0,29.66
500291,1013,1,84.5,41.86,0.05,84.5
500291,1030,1,29.25,13.16,0.0,29.25
500292,1002,1,134.46,101.07,0.2,134.46
500293,1008,1,59.89,28.69,0.0,59.89
500294,1010,1,91.24,59.23,0.1,91.24
500295,1029,1,66.1,44.16,0.15,66.1
500296,1013,1,88.95,41.86,0.0,88.95
500296,1007,1,81.54,51.69,0.0,81.54
500297,1029,1,77.76,44.16,0.0,77.76
500298,1018,1,110.73,54.7,0.05,110.73
500298,1032,2,79.83,58.13,0.15,159.66
500299,1001,1,154.96,82.77,0.0,154.96
500299,1005,1,52.12,29.47,0.05,52.12
500299,1017,1,45.95,23.72,0.0,45.95
500300,1033,1,99.26,58.92,0.05,99.26
500301,1027,1,68.17,40.42,0.0,68.17
500302,1008,1,50.91,28.69,0.15,50.91
500302,1019,1,47.81,27.36,0.05,47.81
500302,1015,2,29.66,17.72,0.0,59.32
500303,1009,1,71.9,31.39,0.0,71.9
500303,1005,1,46.63,29.47,0.15,46.63
500303,1011,1,93.87,48.08,0.0,93.87
500304,1003,1,44.64,33.41,0.1,44.64
500304,1019,1,42.78,27.36,0.15,42.78
500304,1013,1,88.95,41.86,0.0,88.95
500305,1014,1,50.44,25.6,0.15,50.44
500306,1030,1,29.25,13.16,0.0,29.25
500307,1028,2,115.19,71.76,0.0,230.38
500308,1022,1,161.55,80.97,0.0,161.55
500309,1027,1,68.17,40.42,0.0,68.17
500309,1007,1,73.39,51.69,0.1,73.39
500310,1030,1,27.79,13.16,0.05,27.79
500311,1005,1,54.86,29.47,0.0,54.86
500312,1023,1,68.16,45.15,0.05,68.16
500312,1013,1,84.5,41.86,0.05,84.5
500312,1031,1,98.64,59.46,0.1,98.64
500313,1030,1,26.32,13.16,0.1,26.32
500314,1015,2,25.21,17.72,0.15,50.42
500314,1008,1,44.92,28.69,0.25,44.92
500315,1026,1,21.79,9.19,0.0,21.79
500316,1033,1,99.26,58.92,0.05,99.26
500316,1010,1,101.38,59.23,0.0,101.38
500317,1009,1,64.71,31.39,0.1,64.71
500317,1004,1,152.98,95.52,0.0,152.98
500318,1002,1,142.87,101.07,0.15,142.87
500318,1027,1,68.17,40.42,0.0,68.17
500319,1004,1,152.98,95.52,0.0,152.98
500319,1024,1,34.78,18.12,0.05,34.78
500320,1031,1,109.6,59.46,0.0,109.6
500320,1033,1,78.36,58.92,0.25,78.36
500321,1006,2,92.47,61.12,0.0,184.94
500322,1018,1,99.08,54.7,0.15,99.08
500323,1030,1,26.32,13.16,0.1,26.32
500324,1027,1,54.54,40.42,0.2,54.54
500324,1030,1,29.25,13.16,0.0,29.25
500325,1024,1,36.61,18.12,0.0,36.61
500325,1023,2,71.75,45.15,0.0,143.5
