customer_id,signup_date,age,region,acquisition_channel,loyalty_tier
161,2024-04-10,35.0,North West,Email,Standard
162,2024-05-05,37.0,North West,Direct,Silver
163,2024-06-14,62.0,london,Paid Search,Silver
164,2024-03-16,55.0,Yorkshire,Affiliate,Silver
165,2025-08-11,25.0,south east,Affiliate,Standard
166,2024-04-21,31.0,London,Organic Search,Gold
167,2025-08-03,18.0,South East,Email,Silver
168,2025-01-13,28.0,North West,Affiliate,Standard
169,2024-03-24,37.0,West Midlands,Social,Standard
170,2025-08-26,47.0,South West,Organic Search,Standard
171,2024-05-04,26.0,South East,Organic Search,Standard
172,2025-12-15,27.0,South West,Organic Search,Standard
173,2024-01-11,18.0,South East,Paid Search,Standard
174,2025-03-21,32.0,South East,Email,Standard
175,2024-08-12,22.0,South West,Social,Standard
176,2025-01-16,28.0,South West,Social,Silver
177,2025-08-23,24.0,London,Paid Search,Standard
178,2025-07-16,33.0,South East,Email,Standard
179,2024-07-20,18.0,London,Direct,Gold
180,2024-02-15,18.0,West Midlands,Affiliate,Standard
181,2024-07-21,57.0,South West,Email,Standard
182,2025-08-01,20.0,West Midlands,Paid Search,Standard
183,2025-01-03,22.0,London,Direct,Standard
184,2025-06-26,54.0,South East,Direct,Standard
185,2024-12-19,66.0,london,Direct,Standard
186,2025-01-13,21.0,London,Social,Gold
187,2024-02-16,30.0,North West,Paid Search,Standard
188,2024-01-17,38.0,London,Social,Gold
189,2025-05-17,53.0,London,Paid Search,Standard
190,2024-05-24,23.0,South East,Paid Search,Standard
191,2024-09-14,31.0,South East,Paid Search,Silver
192,2024-09-21,43.0,Wales,Direct,Silver
193,2025-03-28,39.0,Scotland,Social,Standard
194,2025-11-03,30.0,South West,Paid Search,Standard
195,2025-06-25,33.0,London,Email,Standard
196,2025-04-01,19.0,East of England,Paid Search,Gold
197,2025-08-19,31.0,East of England,Organic Search,Silver
198,2024-12-30,31.0,South West,Email,Standard
199,2024-04-13,37.0,London,Paid Search,Silver
200,2024-12-15,28.0,London,Organic Search,Standard
201,2025-11-30,39.0,London,Social,Standard
202,2025-07-11,45.0,South East,Organic Search,Silver
203,2024-09-07,36.0,East of England,Paid Search,Standard
204,2024-08-19,38.0,North East,Social,Standard
205,2025-10-18,35.0,london,Direct,Standard
206,2024-03-08,34.0,North West,Paid Search,Silver
207,2025-10-28,26.0,London,Social,Gold
208,2025-04-29,37.0,London,Social,Standard
209,2025-07-31,33.0,West Midlands,Email,Standard
210,2024-08-23,57.0,London,Social,Standard
211,2025-04-08,51.0,Wales,Email,Standard
212,2024-08-20,38.0,Wales,Direct,Standard
213,2024-01-13,26.0,London,Paid Search,Standard
214,2024-11-21,22.0,London,Affiliate,Standard
215,2025-12-01,47.0,London,Paid Search,Silver
216,2024-06-22,37.0,Wales,Affiliate,Standard
217,2024-04-25,39.0,London,Email,Silver
218,2025-10-21,18.0,North West,Social,Standard
219,2025-10-12,44.0,South East,Social,Standard
220,2025-08-28,39.0,East of England,Social,Standard
221,2025-11-29,22.0,London,Organic Search,Gold
222,2025-12-09,29.0,Yorkshire,Social,Standard
223,2025-10-18,37.0,West Midlands,Social,Standard
224,2025-11-20,35.0,London,Paid Search,Silver
225,2025-06-16,31.0,London,Paid Search,Silver
226,2024-08-12,33.0,South West,Paid Search,Gold
227,2024-11-23,31.0,East of England,Affiliate,Standard
228,2024-09-29,36.0,Yorkshire,Paid Search,Standard
229,2024-12-30,50.0,South East,Social,Standard
230,2025-05-14,18.0,Wales,Direct,Standard
231,2024-06-21,31.0,London,Organic Search,Standard
232,2024-01-12,36.0,Yorkshire,Organic Search,Silver
233,2025-03-06,37.0,North East,Direct,Gold
234,2025-12-11,30.0,West Midlands,Email,Standard
235,2025-09-08,18.0,Scotland,Paid Search,Standard
236,2024-01-08,38.0,South West,Organic Search,Standard
237,2025-03-04,53.0,North West,Social,Standard
238,2025-01-15,18.0,London,Affiliate,Standard
239,2024-10-30,44.0,South East,Paid Search,Standard
240,2025-04-23,30.0,East of England,Affiliate,Gold
241,2024-10-31,33.0,North East,Paid Search,Standard
242,2025-10-15,22.0,Scotland,Social,Gold
243,2025-10-11,30.0,East of England,Organic Search,Silver
244,2025-04-05,48.0,Yorkshire,Social,Silver
245,2024-11-23,40.0,Yorkshire,Direct,Standard
246,2025-03-02,53.0,North West,Organic Search,Standard
247,2025-10-05,47.0,London,Social,Standard
248,2024-08-02,39.0,South West,Paid Search,Standard
249,2025-09-13,53.0,South West,Paid Search,Standard
250,2025-02-26,39.0,North West,Organic Search,Standard
251,2024-02-15,43.0,East of England,Social,Gold
252,2025-06-20,31.0,Yorkshire,Direct,Standard
253,2024-05-24,35.0,Scotland,Organic Search,Standard
254,2025-01-03,26.0,East of England,Organic Search,Standard
255,2025-11-10,45.0,Yorkshire,Organic Search,Standard
256,2025-07-11,21.0,East of England,Social,Standard
257,2025-05-15,43.0,west midlands,Organic Search,Standard
258,2024-02-19,32.0,South West,Direct,Standard
259,2025-09-06,47.0,Scotland,Email,Standard
260,2024-08-27,42.0,Yorkshire,Email,Standard
261,2024-02-05,54.0,North West,Organic Search,Silver
262,2025-11-17,42.0,South East,Social,Standard
263,2024-05-16,18.0,South West,Affiliate,Silver
264,2024-08-19,33.0,Yorkshire,Social,Standard
265,2024-04-11,21.0,Wales,Email,Standard
266,2025-03-20,28.0,Scotland,Email,Standard
267,2025-09-12,51.0,North West,Direct,Standard
268,2025-01-06,41.0,North West,Paid Search,Standard
269,2025-09-13,26.0,London,Affiliate,Standard
270,2025-10-31,23.0,North West,Paid Search,Standard
271,2025-09-15,34.0,South East,Social,Standard
272,2024-04-26,21.0,Yorkshire,Social,Silver
273,2024-05-27,27.0,London,Paid Search,Standard
274,2024-08-02,37.0,Wales,Organic Search,Silver
275,2025-04-01,47.0,South West,Paid Search,Standard
276,2025-09-08,41.0,London,Organic Search,Standard
277,2024-08-11,18.0,West Midlands,Social,Standard
278,2025-04-21,37.0,North West,Organic Search,Standard
279,2024-05-13,35.0,North West,Social,Standard
280,2025-01-23,39.0,North West,Paid Search,Standard
281,2025-07-11,52.0,East of England,Organic Search,Standard
282,2024-10-09,18.0,London,Email,Standard
283,2024-04-26,27.0,Yorkshire,Paid Search,Standard
284,2024-10-21,40.0,Scotland,Social,Standard
285,2025-06-28,18.0,North West,Direct,Standard
286,2025-10-30,50.0,London,Direct,Silver
287,2025-03-16,38.0,North West,Social,Standard
288,2025-04-24,43.0,South East,Social,Standard
289,2024-10-26,28.0,Scotland,Social,Gold
290,2025-10-26,43.0,London,Paid Search,Silver
291,2025-09-13,46.0,London,Paid Search,Gold
292,2025-11-26,37.0,London,Organic Search,Standard
293,2025-09-09,37.0,North West,Direct,Standard
294,2025-01-26,37.0,West Midlands,Organic Search,Standard
295,2025-11-17,25.0,North West,Paid Search,Silver
296,2025-03-12,32.0,South East,Organic Search,Standard
297,2025-03-06,32.0,North East,Organic Search,Standard
298,2025-04-14,38.0,South West,Organic Search,Standard
299,2024-05-12,45.0,London,Social,Standard
300,2025-08-23,22.0,North West,Social,Standard
301,2024-09-16,33.0,East of England,Direct,Standard
302,2025-04-16,50.0,West Midlands,Email,Standard
303,2025-08-26,26.0,South East,Affiliate,Silver
304,2024-03-22,,North West,Social,Standard
305,2024-08-03,36.0,London,Organic Search,STANDARD
306,2025-11-04,43.0,East of England,Affiliate,Standard
307,2024-09-15,34.0,South West,Social,Standard
308,2025-04-17,49.0,North West,Affiliate,Standard
309,2025-02-05,43.0,South East,Organic Search,Standard
310,2025-09-13,43.0,London,Paid Search,Standard
311,2024-12-30,40.0,South East,Paid Search,Silver
312,2024-10-30,60.0,South West,Paid Search,SILVER
313,2024-01-12,32.0,London,Email,Standard
314,2024-12-05,18.0,North West,Affiliate,Standard
315,2025-02-22,52.0,South East,Direct,Silver
316,2025-05-07,29.0,South West,Affiliate,Standard
317,2025-07-11,35.0,East of England,Affiliate,Standard
318,2025-07-09,48.0,South East,Affiliate,Gold
319,2024-11-24,18.0,North West,Email,Standard
320,2024-02-26,20.0,West Midlands,Email,Standard
321,2024-06-30,18.0,North West,Organic Search,Standard
322,2024-10-18,25.0,East of England,Direct,Standard
323,2025-11-30,39.0,South East,Social,Standard
324,2025-07-04,40.0,London,Paid Search,Standard
325,2025-10-01,37.0,South West,Social,Standard
326,2025-12-10,18.0,North East,Affiliate,Standard
327,2024-04-05,18.0,London,Email,Gold
328,2024-01-09,35.0,London,Organic Search,Silver
329,2025-02-14,29.0,west midlands,Paid Search,Standard
330,2024-07-08,39.0,East of England,Email,Standard
331,2025-09-13,42.0,Wales,Email,Standard
332,2024-11-28,36.0,London,Organic Search,Standard
333,2024-01-07,42.0,North East,Email,Standard
334,2024-06-08,37.0,North West,Email,Gold
335,2024-09-01,40.0,North West,Paid Search,Standard
336,2024-01-20,26.0,South East,Paid Search,Silver
337,2024-08-14,32.0,South East,Paid Search,Silver
338,2025-01-20,36.0,London,Email,Gold
339,2025-09-30,43.0,North West,Direct,Standard
340,2025-04-09,30.0,London,Direct,Standard
341,2024-03-07,40.0,London,Email,Standard
342,2024-10-24,31.0,South East,Paid Search,Standard
343,2025-07-03,33.0,Yorkshire,Organic Search,Silver
344,2024-09-21,43.0,South East,Social,Standard
345,2025-02-06,18.0,South West,Social,Silver
346,2025-12-05,20.0,North West,Email,Standard
347,2024-04-08,18.0,North East,Direct,Standard
348,2024-12-07,18.0,Yorkshire,Organic Search,Standard
349,2025-03-11,27.0,east of england,Paid Search,Standard
350,2025-07-24,42.0,London,Social,Standard
351,2025-08-21,31.0,London,Paid Search,Standard
352,2024-07-24,36.0,South East,Organic Search,Standard
353,2024-11-29,46.0,South West,Social,Standard
354,2025-08-16,49.0,South East,Organic Search,Standard
355,2025-08-22,33.0,East of England,Paid Search,Standard
356,2025-08-11,49.0,South West,Direct,Standard
357,2025-04-22,35.0,North West,Social,Standard
358,2024-07-10,25.0,London,Organic Search,Standard
359,2024-09-20,27.0,Scotland,Affiliate,Standard
360,2025-04-13,18.0,Yorkshire,Organic Search,Standard
361,2024-06-30,24.0,South East,Paid Search,Silver
362,2025-05-02,30.0,South East,Direct,Standard
363,2025-01-03,43.0,Scotland,Affiliate,Standard
364,2024-11-12,53.0,Wales,Paid Search,Standard
365,2024-09-11,19.0,South East,Email,Standard
366,2025-07-07,38.0,London,Social,Standard
367,2024-11-28,23.0,Scotland,Direct,Standard
368,2024-08-07,39.0,West Midlands,Social,Standard
369,2024-10-01,33.0,North West,Email,Standard
370,2024-12-12,18.0,South East,Organic Search,Standard
371,2025-03-17,44.0,Yorkshire,Paid Search,Standard
372,2025-12-08,27.0,East of England,Organic Search,Gold
373,2024-08-31,28.0,South West,Social,Standard
374,2024-05-07,22.0,North West,Social,Silver
375,2025-11-30,27.0,South East,Paid Search,Standard
376,2024-04-15,39.0,South West,Organic Search,Silver
377,2025-10-08,32.0,West Midlands,Social,Standard
378,2024-04-11,38.0,West Midlands,Organic Search,Gold
379,2024-09-17,38.0,Scotland,Affiliate,Standard
380,2025-12-14,49.0,East of England,Affiliate,Standard
381,2024-04-28,30.0,South East,Social,Standard
382,2024-04-24,18.0,South East,Direct,Standard
383,2025-03-11,46.0,East of England,Social,Standard
384,2024-05-16,30.0,london,Social,Standard
385,2024-01-18,46.0,East of England,Social,Standard
386,2025-05-11,38.0,South East,Organic Search,Silver
387,2025-11-16,33.0,South East,Organic Search,Silver
388,2025-06-27,38.0,London,Social,Standard
389,2025-11-20,55.0,East of England,Organic Search,Silver
390,2025-01-11,57.0,London,Affiliate,Silver
391,2025-03-15,35.0,West Midlands,Organic Search,Standard
392,2025-12-03,36.0,South East,Paid Search,Gold
393,2024-12-26,46.0,North East,Social,Silver
394,2024-01-28,25.0,,Organic Search,Standard
395,2024-06-19,38.0,North West,Paid Search,Standard
396,2025-03-19,34.0,Yorkshire,Social,Standard
397,2025-09-04,37.0,North East,Organic Search,Standard
398,2025-03-09,25.0,North East,Organic Search,Standard
399,2024-10-17,18.0,London,Organic Search,Gold
400,2024-08-17,18.0,South East,Social,Standard
401,2025-05-03,22.0,north west,Affiliate,Standard
402,2025-10-05,29.0,East of England,Affiliate,Silver
403,2024-07-17,31.0,West Midlands,Paid Search,STANDARD
404,2025-01-30,,West Midlands,Email,Standard
405,2024-11-01,46.0,London,Direct,Standard
406,2024-06-25,23.0,London,Paid Search,Standard
407,2024-10-16,38.0,West Midlands,Direct,Silver
408,2024-03-04,30.0,West Midlands,Affiliate,Standard
409,2025-01-14,31.0,Yorkshire,Organic Search,Standard
410,2024-03-17,36.0,North West,Paid Search,STANDARD
411,2024-12-04,41.0,London,Direct,Standard
412,2025-10-03,30.0,London,Organic Search,Standard
413,2024-04-14,46.0,South East,Organic Search,Silver
414,2024-06-27,21.0,South East,Paid Search,Standard
415,2025-05-30,34.0,North West,Organic Search,Gold
416,2025-10-10,63.0,West Midlands,Organic Search,Silver
417,2025-11-14,36.0,North East,Paid Search,Silver
418,2024-03-26,50.0,East of England,Affiliate,Standard
419,2024-06-19,35.0,South East,Organic Search,Standard
420,2025-12-04,40.0,East of England,Affiliate,Standard
421,2024-12-27,33.0,London,Direct,Standard
422,2025-08-18,32.0,London,Social,Standard
423,2024-01-11,25.0,East of England,Direct,Gold
424,2024-03-24,39.0,South West,Social,Standard
425,2024-05-26,25.0,London,Organic Search,Silver
426,2024-03-02,41.0,North West,Organic Search,Silver
427,2025-09-28,46.0,West Midlands,Social,Standard
428,2025-07-28,38.0,London,Direct,Silver
429,2024-10-06,31.0,North West,Organic Search,Standard
430,2024-02-25,39.0,London,Social,Standard
431,2024-03-16,31.0,East of England,Affiliate,Standard
432,2024-07-06,44.0,West Midlands,Direct,Standard
433,2025-06-03,18.0,East of England,Direct,Standard
434,2025-07-26,30.0,North West,Organic Search,Standard
435,2025-01-20,18.0,South East,Organic Search,Standard
436,2025-10-10,18.0,London,Organic Search,Silver
437,2025-10-25,49.0,South West,Paid Search,Standard
438,2025-07-02,44.0,South East,Direct,Standard
439,2024-02-26,26.0,London,Email,Standard
440,2025-09-28,18.0,South West,Direct,Standard
441,2025-10-11,18.0,London,Paid Search,Gold
442,2025-02-04,28.0,South West,Paid Search,Standard
443,2025-03-04,61.0,West Midlands,Paid Search,Standard
444,2025-07-11,39.0,North West,Paid Search,Standard
445,2025-02-27,28.0,Yorkshire,Affiliate,Standard
446,2024-09-03,39.0,West Midlands,Email,Silver
447,2025-05-13,18.0,North East,Affiliate,Silver
448,2025-07-15,31.0,East of England,Affiliate,Standard
449,2024-04-11,35.0,,Organic Search,Gold
450,2025-05-01,33.0,North West,Organic Search,Silver
451,2024-05-03,43.0,Yorkshire,Email,Gold
452,2025-02-15,38.0,North West,Paid Search,Silver
453,2024-03-18,41.0,North East,Organic Search,Gold
454,2025-12-10,26.0,South West,Organic Search,Standard
455,2025-04-22,44.0,Scotland,Direct,Standard
456,2024-12-01,52.0,South West,Affiliate,Standard
457,2024-12-26,23.0,London,Paid Search,Gold
458,2025-03-18,24.0,London,Email,Standard
459,2024-03-30,49.0,East of England,Organic Search,Standard
460,2024-12-30,32.0,London,Organic Search,Standard
461,2025-05-26,49.0,London,Paid Search,Standard
462,2024-07-05,29.0,South East,Paid Search,Standard
463,2024-12-08,50.0,West Midlands,Direct,Gold
464,2024-08-24,35.0,London,Organic Search,Standard
465,2024-04-25,37.0,East of England,Social,Standard
466,2025-11-30,51.0,West Midlands,Affiliate,Standard
467,2025-02-27,30.0,North West,Organic Search,Standard
468,2024-10-07,24.0,West Midlands,Social,Standard
469,2024-08-29,29.0,South East,Paid Search,Standard
470,2025-04-30,39.0,Scotland,Organic Search,Standard
471,2024-03-18,18.0,North East,Organic Search,Standard
472,2025-02-09,41.0,South East,Affiliate,Silver
473,2024-06-13,28.0,London,Social,Standard
474,2025-09-28,47.0,East of England,Organic Search,Standard
475,2025-07-14,18.0,Yorkshire,Paid Search,Silver
476,2025-06-25,25.0,Yorkshire,Affiliate,Standard
477,2024-04-14,18.0,North East,Email,Standard
478,2024-02-27,25.0,Scotland,Direct,STANDARD
479,2024-11-23,37.0,north west,Affiliate,Gold
480,2024-09-11,32.0,London,Organic Search,Standard
481,2025-06-01,31.0,London,Organic Search,Standard
482,2025-05-24,32.0,London,Social,Standard
483,2024-10-11,36.0,London,Paid Search,Standard
484,2024-04-25,23.0,London,Social,Silver
485,2024-08-19,42.0,South West,Email,Standard
486,2024-12-25,41.0,North West,Paid Search,Standard
487,2024-06-30,38.0,London,Direct,Standard
488,2024-08-15,40.0,Yorkshire,Social,Standard
489,2024-06-21,37.0,Wales,Email,Silver
490,2024-02-16,56.0,London,Paid Search,Standard
491,2025-03-05,33.0,London,Email,Standard
492,2025-12-13,31.0,South West,Direct,Standard
493,2025-11-11,26.0,Yorkshire,Organic Search,Standard
494,2025-10-26,23.0,North West,Paid Search,Gold
495,2025-04-16,20.0,London,Email,Standard
496,2025-06-18,24.0,West Midlands,Affiliate,Standard
497,2024-02-15,33.0,Yorkshire,Email,Standard
498,2024-05-23,38.0,South East,Organic Search,Standard
499,2025-05-19,35.0,West Midlands,Email,Silver
500,2025-12-07,26.0,East of England,Email,Standard
501,2025-10-11,44.0,London,Organic Search,Standard
502,2025-03-27,42.0,North East,Social,Standard
503,2024-03-18,32.0,London,Social,Silver
504,2025-11-21,27.0,Yorkshire,Paid Search,Standard
505,2024-08-15,40.0,North West,Organic Search,Standard
506,2024-01-31,36.0,London,Affiliate,Standard
507,2025-07-03,18.0,North West,Organic Search,Standard
508,2024-05-04,33.0,London,Paid Search,Standard
509,2024-08-03,37.0,London,Email,Silver
510,2025-04-29,24.0,South East,Organic Search,Silver
511,2025-11-21,36.0,North East,Organic Search,Silver
512,2025-10-10,18.0,Wales,Direct,Standard
513,2024-04-26,49.0,South East,Social,Standard
514,2024-05-05,48.0,South West,Paid Search,Standard
515,2025-08-01,31.0,Scotland,Organic Search,Standard
516,2024-08-14,38.0,West Midlands,Organic Search,Standard
517,2024-02-25,18.0,London,Email,Standard
518,2025-02-24,21.0,South East,Paid Search,Standard
519,2025-04-14,31.0,South West,Organic Search,Standard
520,2025-12-15,22.0,South East,Direct,Standard
521,2024-12-13,42.0,East of England,Email,Silver
522,2025-07-25,56.0,North West,Affiliate,Standard
523,2025-01-17,21.0,North West,Email,Standard
524,2025-10-22,25.0,South East,Direct,Standard
525,2024-12-14,37.0,North West,Paid Search,Standard
526,2025-04-27,52.0,East of England,Organic Search,Standard
527,2025-11-19,21.0,North West,Organic Search,Standard
528,2025-09-19,37.0,London,Organic Search,Standard
529,2024-10-13,54.0,South West,Affiliate,Gold
530,2024-12-28,18.0,South East,Social,Standard
531,2025-02-27,20.0,South East,Organic Search,Standard
532,2024-03-29,29.0,North West,Organic Search,Standard
533,2024-06-15,28.0,east of england,Email,STANDARD
534,2025-05-22,43.0,South East,Paid Search,Standard
535,2024-02-21,37.0,East of England,Affiliate,Silver
536,2025-03-06,18.0,North West,Direct,Silver
537,2024-12-12,40.0,West Midlands,Email,Standard
538,2024-12-13,28.0,North West,Organic Search,Silver
539,2025-08-27,48.0,Yorkshire,Email,Standard
540,2024-07-15,27.0,North West,Social,Standard
541,2025-07-19,27.0,London,Affiliate,Gold
542,2025-07-14,40.0,Yorkshire,Organic Search,Silver
543,2025-12-10,42.0,South East,Email,Standard
544,2025-08-09,39.0,West Midlands,Social,Standard
545,2024-12-28,18.0,Scotland,Social,Standard
546,2024-09-17,40.0,South East,Paid Search,Gold
547,2025-07-12,23.0,South East,Organic Search,Standard
548,2025-10-25,37.0,London,Affiliate,Standard
549,2024-07-19,18.0,Scotland,Organic Search,Standard
