order_id,customer_id,order_datetime,status,payment_method,device
500032,15924,2025-03-19 12:02:00,Completed,Card,Desktop
500033,309,2025-04-08 14:37:00,Completed,Card,Desktop
500034,15061,2025-04-25 18:17:00,Returned,Card,Mobile
500035,9998,2025-01-30 14:20:00,Completed,PayPal,Mobile
500036,16689,2025-01-30 03:44:00,Returned,Card,Desktop
500037,18236,2025-01-22 07:13:00,Returned,PayPal,Desktop
500038,16192,2025-10-28 09:06:00,Returned,Apple Pay,Desktop
500039,11593,2025-11-18 18:36:00,Completed,Card,Mobile
500040,17107,2025-07-29 20:23:00,Completed,PayPal,Desktop
500041,17807,2025-07-25 12:42:00,Completed,Card,Mobile
500042,11242,2025-07-13 20:43:00,Completed,Apple Pay,Desktop
500043,12182,2025-01-10 13:07:00,Completed,Apple Pay,Desktop
500044,12516,2025-08-14 12:48:00,Completed,Google Pay,Mobile
500045,8076,2025-11-11 14:03:00,Returned,PayPal,Desktop
500046,3599,2025-10-01 11:18:00,Completed,Card,Desktop
500047,15011,2025-11-19 17:58:00,Completed,Apple Pay,Mobile
500048,10331,2025-06-30 23:29:00,Completed,Card,Desktop
500049,19093,2025-05-04 23:02:00,Completed,Apple Pay,Mobile
500050,15207,2025-02-01 19:47:00,Completed,Apple Pay,Desktop
500051,18387,2025-04-14 04:29:00,Completed,Card,Mobile
500052,18546,2025-05-24 21:21:00,Completed,Google Pay,Mobile
500053,3946,2025-01-28 20:55:00,Completed,Apple Pay,Desktop
500054,18521,2025-01-15 12:20:00,Completed,Apple Pay,Mobile
500055,899,2025-12-14 07:54:00,Completed,Apple Pay,Mobile
500056,4278,2025-03-27 17:40:00,Completed,Google Pay,Mobile
500057,1056,2025-11-25 20:01:00,Completed,Card,Mobile
500058,12532,2025-11-15 10:39:00,Completed,Card,Desktop
500059,15359,2025-07-13 18:50:00,Completed,Card,Mobile
500060,12108,2025-02-21 08:21:00,Completed,Card,Mobile
500061,2942,2025-03-17 01:03:00,Completed,Card,Mobile
500062,6108,2025-08-03 11:35:00,Completed,Apple Pay,Mobile
500063,8204,2025-06-16 05:37:00,Completed,PayPal,Mobile
500064,16602,2025-07-07 04:51:00,Completed,Card,Mobile
500065,6569,2025-12-30 21:50:00,Completed,Card,Desktop
500066,15274,2025-01-26 09:43:00,Completed,Card,Desktop
500067,18644,2025-12-25 05:14:00,Cancelled,Card,Mobile
500068,2372,2025-06-13 23:47:00,Cancelled,Card,Desktop
500069,17455,2025-07-03 14:45:00,Completed,Apple Pay,Mobile
500070,4495,2025-07-08 13:59:00,Completed,Card,Desktop
500071,15746,2025-10-09 20:10:00,Completed,PayPal,Desktop
500072,9545,2025-06-30 22:28:00,Completed,Apple Pay,Desktop
500073,19539,2025-02-19 10:07:00,Completed,Apple Pay,Mobile
500074,4228,2025-11-03 14:38:00,Completed,Card,Desktop
500075,2662,2025-03-20 17:24:00,Completed,PayPal,Mobile
500076,19335,2025-12-13 07:13:00,Completed,Card,Mobile
500077,9674,2025-12-13 00:36:00,Completed,Apple Pay,Mobile
500078,10776,2025-11-10 01:11:00,Completed,Card,Mobile
500079,19744,2025-03-22 07:13:00,Returned,Apple Pay,Desktop
500080,19485,2025-09-02 13:43:00,Cancelled,Card,Mobile
500081,5005,2025-11-30 05:27:00,Completed,Card,Mobile
500082,4730,2025-11-03 09:48:00,Completed,Card,Desktop
500083,3145,2025-01-22 19:50:00,Completed,Apple Pay,Mobile
500084,11995,2025-10-14 08:31:00,Completed,PayPal,Mobile
500085,4348,2025-11-23 02:17:00,Completed,Card,Desktop
500086,14322,2025-09-14 08:58:00,Completed,Card,Tablet
500087,7690,2025-02-16 18:54:00,Completed,Card,Mobile
500088,16197,2025-02-12 03:47:00,Completed,Card,Mobile
500089,18971,2025-01-28 22:34:00,Completed,Google Pay,Desktop
500090,16075,2025-12-31 04:17:00,Completed,Card,Tablet
500091,12744,2025-09-25 10:07:00,Completed,Card,Mobile
500092,4538,2025-11-11 18:06:00,Completed,Card,Mobile
500093,3195,2025-02-24 07:08:00,Completed,Card,Desktop
500094,8177,2025-02-04 20:24:00,Completed,Card,Mobile
500095,3929,2025-08-26 03:18:00,Cancelled,Card,Mobile
500096,16363,2025-01-14 22:50:00,Completed,Apple Pay,Desktop
500097,9486,2025-10-31 12:09:00,Completed,Google Pay,Mobile
500098,2611,2025-08-10 16:27:00,Returned,Card,Mobile
500099,15399,2025-06-11 22:17:00,Completed,PayPal,Mobile
500100,14906,2025-11-12 19:58:00,Completed,PayPal,Mobile
500101,16288,2025-07-14 05:58:00,Completed,Google Pay,Mobile
500102,1952,2025-06-15 05:59:00,Completed,Card,Mobile
500103,11149,2025-03-01 00:11:00,Completed,Google Pay,Desktop
500104,9606,2025-05-18 08:53:00,Completed,Card,Mobile
500105,15596,2025-06-08 11:49:00,Completed,PayPal,Desktop
500106,39,2025-08-02 20:14:00,Completed,Google Pay,Desktop
500107,5236,2025-02-20 04:36:00,Completed,Card,Desktop
500108,9809,2025-01-20 06:59:00,Completed,PayPal,Desktop
500109,3937,2025-04-01 01:07:00,Completed,Card,Mobile
500110,6259,2025-10-31 13:27:00,Completed,Card,Desktop
500111,18276,2025-09-27 18:48:00,Completed,Card,Desktop
500112,10036,2025-01-15 00:53:00,Completed,Card,Mobile
500113,15854,2025-08-05 12:53:00,Completed,Card,Mobile
500114,10976,2025-01-16 06:49:00,Completed,Card,Mobile
500115,18977,2025-02-21 15:46:00,Completed,Card,Mobile
500116,12882,2025-12-05 16:43:00,Completed,Card,Desktop
500117,3283,2025-06-18 06:00:00,Completed,Apple Pay,Mobile
500118,9295,2025-06-15 12:12:00,Completed,PayPal,Desktop
500119,639,2025-02-13 02:26:00,Completed,PayPal,Tablet
500120,11921,2025-09-01 01:04:00,Completed,Apple Pay,Desktop
500121,8764,2025-02-06 20:27:00,Completed,Card,Desktop
500122,1251,2025-01-19 22:36:00,Completed,Card,Desktop
500123,17650,2025-06-15 09:03:00,Completed,Card,Mobile
500124,5005,2025-01-26 23:47:00,Completed,Card,Desktop
500125,6348,2025-01-18 14:04:00,Completed,PayPal,Tablet
500126,663,2025-02-28 20:31:00,Returned,Card,Mobile
500127,19939,2025-01-02 02:30:00,Completed,Card,Mobile
500128,6296,2025-02-02 14:53:00,Completed,Google Pay,Mobile
500129,6988,2025-12-04 21:03:00,Completed,Card,Mobile
500130,7093,2025-01-11 11:47:00,Completed,Apple Pay,Desktop
500131,10128,2025-04-09 08:17:00,Completed,Card,Mobile
500132,5507,2025-06-07 01:07:00,Completed,Card,Desktop
500133,12458,2025-12-08 22:54:00,Completed,PayPal,Mobile
500134,3459,2025-02-11 06:54:00,Completed,Card,Mobile
500135,19681,2025-01-11 15:29:00,Completed,Card,Mobile
500136,10295,2025-10-11 10:57:00,Completed,Card,Desktop
500137,12779,2025-09-23 07:45:00,Completed,Card,Mobile
500138,17169,2025-03-25 20:49:00,Completed,Card,Mobile
500139,19658,2025-11-12 02:24:00,Completed,Card,Mobile
500140,7473,2025-03-24 04:32:00,Completed,Google Pay,Desktop
500141,14920,2025-04-20 13:12:00,Completed,,Mobile
500142,14776,2025-08-30 06:36:00,Completed,Google Pay,Mobile
500143,3043,2025-08-10 14:27:00,Completed,Card,Desktop
500144,16909,2025-05-09 05:19:00,Completed,Card,Mobile
500145,14375,2025-11-15 10:34:00,Completed,PayPal,Mobile
500146,3459,2025-12-06 03:31:00,Completed,Card,Mobile
500147,5808,2025-07-05 01:36:00,Completed,Card,Mobile
500148,18303,2025-11-23 14:05:00,Completed,Card,Tablet
500149,1280,2025-12-10 17:35:00,Completed,Google Pay,Mobile
500150,5829,2025-01-27 02:42:00,Completed,Card,Tablet
500151,15518,2025-05-15 14:05:00,Completed,PayPal,Mobile
500152,18837,2025-03-26 05:10:00,Completed,Card,Tablet
500153,5166,2025-01-09 03:06:00,Completed,Google Pay,Tablet
500154,3312,2025-01-30 19:23:00,Completed,PayPal,Tablet
500155,6271,2025-08-25 10:04:00,Completed,Card,Mobile
500156,10801,2025-01-10 19:06:00,Completed,Apple Pay,Mobile
500157,17052,2025-01-06 16:46:00,Completed,PayPal,Mobile
500158,3413,2025-09-01 11:45:00,Completed,Apple Pay,Desktop
500159,8949,2025-11-13 11:35:00,Completed,Card,Mobile
500160,11903,2025-06-29 11:26:00,Completed,Card,Tablet
500161,8446,2025-12-19 17:02:00,Completed,Card,Mobile
500162,10352,2025-01-03 18:17:00,Completed,PayPal,Mobile
500163,2442,2025-06-12 19:00:00,Completed,Google Pay,Desktop
500164,14438,2025-11-25 14:29:00,Completed,Card,Mobile
500165,428,2025-01-04 21:04:00,Completed,PayPal,Desktop
500166,11149,2025-08-21 19:55:00,Completed,Card,Mobile
500167,2794,2025-05-04 22:44:00,Completed,PayPal,Mobile
500168,13341,2025-08-23 03:30:00,Cancelled,Card,Mobile
500169,11316,2025-10-22 19:53:00,Completed,Card,Tablet
500170,19114,2025-03-11 02:28:00,Completed,PayPal,Mobile
500171,18877,2025-12-08 23:49:00,Completed,Card,Mobile
500172,15492,2025-02-21 03:49:00,Completed,PayPal,Desktop
500173,840,2025-08-05 08:18:00,Completed,Card,Mobile
500174,11966,2025-11-27 22:14:00,Completed,PayPal,Mobile
500175,14296,2025-04-07 03:35:00,Completed,Card,Desktop
500176,18160,2025-07-15 07:51:00,Completed,Card,Desktop
500177,1391,2025-08-23 20:49:00,Completed,Card,Desktop
500178,15668,2025-01-08 21:03:00,Completed,Card,Mobile
500179,451,2025-06-30 08:32:00,Completed,PayPal,Mobile
500180,3536,2025-04-15 16:18:00,Completed,Card,Mobile
500181,15091,2025-08-19 13:02:00,Completed,Card,Desktop
500182,13648,2025-07-06 00:24:00,Completed,Card,Desktop
500183,9850,2025-12-13 11:33:00,Completed,Card,Mobile
500184,17120,2025-12-14 22:24:00,Completed,Google Pay,Mobile
500185,5171,2025-01-10 09:33:00,Completed,Card,Desktop
500186,2829,2025-10-09 20:36:00,Completed,PayPal,Desktop
500187,18432,2025-01-17 05:24:00,Completed,PayPal,Mobile
500188,17662,2025-05-12 15:44:00,Completed,Card,Mobile
500189,8264,2025-02-17 03:48:00,Completed,Card,Mobile
500190,14001,2025-01-22 07:34:00,Completed,PayPal,Mobile
500191,12053,2025-12-13 21:03:00,Completed,Card,Mobile
500192,18562,2025-06-23 19:34:00,Completed,Card,Mobile
500193,10030,2025-11-24 19:17:00,Completed,Apple Pay,Mobile
500194,18352,2025-02-23 15:17:00,Completed,PayPal,Mobile
500195,14534,2025-10-30 00:09:00,Completed,Google Pay,Mobile
500196,7268,2025-01-04 14:26:00,Completed,Card,Mobile
500197,10931,2025-11-17 15:50:00,Completed,PayPal,Mobile
500198,839,2025-12-30 17:22:00,Completed,Card,Tablet
500199,7659,2025-07-02 20:19:00,Completed,PayPal,Desktop
500200,16467,2025-04-08 06:26:00,Completed,Card,Mobile
500201,9260,2025-12-22 05:07:00,Completed,Apple Pay,Mobile
500202,3333,2025-09-02 23:19:00,Completed,Card,Mobile
500203,4851,2025-04-23 23:09:00,Completed,Card,Tablet
500204,18015,2025-01-09 05:47:00,Completed,Card,Mobile
500205,11297,2025-06-26 21:02:00,Completed,PayPal,Desktop
500206,8421,2025-08-25 02:31:00,Completed,PayPal,Tablet
500207,5728,2025-03-20 19:36:00,Completed,PayPal,Tablet
500208,15227,2025-06-01 09:26:00,Completed,Card,Desktop
500209,9586,2025-07-31 20:47:00,Cancelled,Apple Pay,Mobile
500210,5980,2025-12-24 11:10:00,Completed,Card,Mobile
500211,904,2025-12-21 20:43:00,Completed,Apple Pay,Mobile
500212,10114,2025-11-04 14:03:00,Completed,Google Pay,Mobile
500213,16844,2025-08-29 08:39:00,Completed,Card,Mobile
500214,10130,2025-08-28 22:30:00,Completed,Google Pay,Desktop
500215,621,2025-02-02 02:21:00,Completed,Apple Pay,Mobile
500216,268,2025-06-20 10:09:00,Completed,Card,Desktop
500217,4917,2025-05-23 23:43:00,Completed,Google Pay,Desktop
500218,14903,2025-07-25 16:36:00,Completed,Card,Mobile
500219,16540,2025-09-26 18:58:00,Completed,Apple Pay,Tablet
500220,13670,2025-01-01 22:49:00,Completed,Google Pay,Mobile
500221,14840,2025-01-29 19:17:00,Completed,Card,Mobile
500222,16595,2025-07-16 22:40:00,Completed,Card,Tablet
500223,10693,2025-09-14 17:07:00,Completed,Card,Tablet
500224,15231,2025-11-30 13:43:00,Completed,Card,Mobile
500225,14126,2025-11-03 19:20:00,Completed,Card,Mobile
500226,15675,2025-10-21 11:35:00,Completed,Card,Mobile
500227,6944,2025-04-07 20:29:00,Completed,PayPal,Mobile
500228,10429,2025-04-16 20:47:00,Completed,Card,Desktop
500229,17991,2025-06-05 17:47:00,Completed,Apple Pay,Mobile
500230,16764,2025-09-29 19:40:00,Completed,Card,Tablet
500231,3500,2025-05-28 20:33:00,Completed,Card,Desktop
500232,16956,2025-08-11 11:35:00,Completed,Apple Pay,Desktop
500233,5466,2025-04-07 14:33:00,Completed,Card,Mobile
500234,14841,2025-06-15 02:55:00,Completed,Apple Pay,Mobile
500235,1262,2025-11-28 07:10:00,Completed,Apple Pay,Desktop
500236,16049,2025-01-22 19:10:00,Completed,Card,Mobile
500237,15872,2025-01-21 10:48:00,Completed,Apple Pay,Mobile
500238,2432,2025-12-26 04:09:00,Returned,Apple Pay,Mobile
500239,4430,2025-04-22 23:11:00,Cancelled,Card,Mobile
500240,5842,2025-07-16 14:40:00,Completed,Card,Desktop
500241,9871,2025-07-20 11:23:00,Completed,Card,Mobile
500242,18953,2025-07-12 04:51:00,Completed,PayPal,Tablet
500243,4229,2025-05-07 16:12:00,Completed,PayPal,Desktop
500244,521,2025-08-23 11:27:00,Cancelled,Apple Pay,Mobile
500245,17122,2025-10-22 09:19:00,Completed,Apple Pay,Mobile
500246,8248,2025-10-20 21:48:00,Completed,Card,Mobile
500247,18090,2025-03-04 10:16:00,Completed,Card,Mobile
500248,4075,2025-09-25 06:17:00,Completed,Card,Desktop
500249,14151,2025-06-26 05:29:00,Completed,Apple Pay,Mobile
500250,7917,2025-03-22 05:01:00,Completed,Card,Mobile
500251,6658,2025-06-15 05:02:00,Completed,Apple Pay,Mobile
500252,9989,2025-05-09 15:37:00,Completed,PayPal,Mobile
500253,5855,2025-10-08 16:38:00,Completed,Apple Pay,Desktop
500254,15208,2025-05-02 21:09:00,Completed,PayPal,Mobile
500255,9481,2025-05-24 01:59:00,Completed,Card,Mobile
500256,4099,2025-08-05 06:57:00,Completed,Apple Pay,Mobile
500257,17618,2025-08-05 07:47:00,Completed,Apple Pay,Mobile
500258,7419,2025-01-15 03:01:00,Completed,Card,Desktop
500259,4992,2025-10-26 02:34:00,Completed,Card,Desktop
500260,18725,2025-07-11 08:37:00,Completed,PayPal,Mobile
500261,14738,2025-04-24 08:57:00,Completed,Card,Desktop
500262,11853,2025-11-23 10:29:00,Completed,PayPal,Tablet
500263,4425,2025-03-12 14:26:00,Cancelled,Card,Tablet
500264,8654,2025-12-19 18:10:00,Completed,Card,Mobile
500265,9350,2025-06-07 00:22:00,Completed,Google Pay,Desktop
500266,6984,2025-09-24 07:57:00,Completed,Card,Mobile
500267,18333,2025-01-18 18:08:00,Cancelled,Card,Desktop
500268,11793,2025-02-11 19:28:00,Completed,Card,Mobile
500269,786,2025-10-26 09:52:00,Completed,PayPal,Mobile
500270,13247,2025-01-11 05:28:00,Completed,PayPal,Desktop
500271,11773,2025-02-11 11:57:00,Completed,Google Pay,Mobile
500272,9936,2025-08-15 21:32:00,Completed,Card,Desktop
500273,479,2025-03-18 17:52:00,Completed,Card,Mobile
500274,5689,2025-05-10 20:54:00,Completed,Card,Mobile
500275,1757,2025-12-10 11:55:00,Completed,Card,Desktop
500276,3960,2025-01-31 21:05:00,Completed,Card,Mobile
500277,16104,2025-02-26 02:36:00,Completed,Card,Mobile
500278,12387,2025-03-06 13:09:00,Completed,PayPal,Mobile
500279,13055,2025-03-18 07:12:00,Completed,Apple Pay,Mobile
500280,9896,2025-09-16 21:41:00,Completed,Card,Mobile
500281,10953,2025-08-25 08:38:00,Completed,Google Pay,Desktop
500282,10768,2025-09-15 21:49:00,Completed,Card,Desktop
500283,14029,2025-01-16 06:34:00,Completed,Card,Mobile
500284,12601,2025-09-18 10:29:00,Completed,Card,Mobile
500285,13172,2025-06-23 00:53:00,Completed,Card,Desktop
500286,15775,2025-02-23 18:45:00,Completed,PayPal,Mobile
500287,6011,2025-03-15 22:50:00,Completed,Card,Mobile
500288,10081,2025-08-03 04:44:00,Completed,Card,Desktop
500289,11465,2025-10-06 11:52:00,Completed,Card,Tablet
500290,6215,2025-05-17 22:02:00,Completed,Apple Pay,Desktop
500291,10185,2025-10-11 23:28:00,Completed,Card,Mobile
500292,17538,2025-02-22 03:29:00,Completed,Card,Tablet
500293,17518,2025-05-31 14:18:00,Completed,Card,Tablet
500294,6525,2025-11-27 10:33:00,Completed,Card,Mobile
500295,2433,2025-04-23 08:52:00,Completed,Apple Pay,Desktop
500296,15865,2025-02-10 18:39:00,Completed,Card,Desktop
500297,4719,2025-01-12 04:46:00,Completed,Google Pay,Tablet
500298,17621,2025-05-04 13:37:00,Completed,Card,Mobile
500299,2714,2025-10-28 09:24:00,Completed,Card,Desktop
500300,1,2025-12-23 05:08:00,Completed,Apple Pay,Desktop
500301,4374,2025-12-27 08:23:00,Returned,Apple Pay,Desktop
500302,18517,2025-11-06 02:56:00,Completed,Card,Desktop
500303,8071,2025-08-10 08:46:00,Completed,Apple Pay,Mobile
500304,11883,2025-06-12 20:08:00,Completed,Apple Pay,Desktop
500305,19942,2025-09-20 06:04:00,Completed,Apple Pay,Mobile
500306,5484,2025-04-23 05:57:00,Completed,Card,Mobile
500307,2638,2025-07-27 07:41:00,Completed,Card,Desktop
500308,14978,2025-04-11 22:55:00,Completed,PayPal,
500309,2858,2025-01-21 17:09:00,Completed,Google Pay,Tablet
500310,12488,2025-02-26 12:50:00,Completed,Google Pay,Mobile
500311,18818,2025-04-01 06:24:00,Completed,Apple Pay,Mobile
500312,10900,2025-03-20 13:53:00,Cancelled,PayPal,Mobile
500313,18378,2025-10-31 08:26:00,Completed,Card,Mobile
500314,19739,2025-06-24 01:41:00,Completed,Card,Mobile
500315,9459,2025-05-04 13:48:00,Completed,Card,Mobile
500316,16790,2025-11-27 22:25:00,Completed,Card,Desktop
500317,8443,2025-09-11 03:13:00,Completed,Card,Tablet
500318,2896,2025-04-02 03:05:00,Completed,Apple Pay,Mobile
500319,14106,2025-02-13 17:51:00,Completed,Card,Mobile
500320,14719,2025-12-03 12:25:00,Completed,PayPal,Mobile
500321,12922,2025-06-03 09:20:00,Completed,PayPal,
500322,12242,2025-07-26 02:16:00,Completed,PayPal,Tablet
500323,19461,2025-06-27 07:56:00,Completed,Apple Pay,Desktop
500324,17207,2025-12-10 15:11:00,Completed,Card,Desktop
500325,18413,2025-08-20 18:25:00,Completed,Apple Pay,Desktop
500326,1305,2025-01-16 02:34:00,Completed,Card,Mobile
500327,15478,2025-01-01 17:00:00,Completed,Card,Desktop
500328,18471,2025-10-07 10:33:00,Completed,Card,Mobile
500329,5295,2025-04-27 12:01:00,Completed,Apple Pay,Mobile
500330,18882,2025-11-03 20:45:00,Completed,Card,Tablet
500331,7799,2025-05-18 13:46:00,Completed,Apple Pay,Tablet
500332,11871,2025-08-10 06:40:00,Completed,Card,Mobile
500333,9611,2025-04-20 09:35:00,Completed,Card,Tablet
500334,14077,2025-06-03 18:50:00,Completed,PayPal,Mobile
500335,1047,2025-11-11 01:37:00,Completed,Card,Desktop
500336,18660,2025-09-13 16:17:00,Completed,Card,Mobile
500337,7161,2025-04-07 22:27:00,Completed,Card,Mobile
500338,17625,2025-10-30 23:02:00,Completed,Card,Mobile
500339,5393,2025-12-13 08:27:00,Completed,Apple Pay,Mobile
500340,12320,2025-11-03 01:52:00,Completed,Apple Pay,Mobile
500341,8230,2025-11-28 06:49:00,Cancelled,Card,Mobile
500342,1492,2025-11-22 19:19:00,Completed,Card,Desktop
500343,4864,2025-10-04 08:57:00,Completed,PayPal,Desktop
500344,6415,2025-06-03 09:38:00,Completed,Card,Desktop
500345,276,2025-10-28 06:35:00,Completed,Card,Mobile
500346,18831,2025-02-14 19:31:00,Completed,Apple Pay,Mobile
500347,17311,2025-07-31 00:42:00,Completed,Apple Pay,Desktop
500348,18575,2025-11-05 14:52:00,Returned,Card,Mobile
500349,12521,2025-12-30 16:52:00,Completed,Google Pay,Desktop
500350,8375,2025-02-16 12:05:00,Returned,Card,Desktop
500351,17110,2025-04-06 01:00:00,Completed,Card,Tablet
500352,18622,2025-04-27 06:32:00,Completed,Apple Pay,Desktop
500353,7827,2025-02-01 13:10:00,Completed,Card,Mobile
500354,19977,2025-10-05 09:02:00,Completed,Google Pay,Desktop
500355,15181,2025-06-26 01:22:00,Completed,Card,Tablet
500356,14715,2025-04-07 21:39:00,Completed,Card,Mobile
500357,16199,2025-02-10 06:59:00,Completed,Card,Tablet
500358,18126,2025-01-02 12:16:00,Completed,Apple Pay,Mobile
500359,17683,2025-02-19 18:43:00,Completed,Card,Mobile
500360,9324,2025-12-13 03:51:00,Completed,Card,Desktop
500361,18867,2025-02-25 21:15:00,Completed,Google Pay,Mobile
500362,2649,2025-02-16 11:00:00,Completed,Card,Desktop
500363,175,2025-10-22 11:19:00,Completed,PayPal,Mobile
500364,17144,2025-10-03 00:54:00,Completed,Apple Pay,Mobile
500365,2279,2025-09-25 02:35:00,Completed,Card,Desktop
500366,16944,2025-03-11 03:23:00,Completed,PayPal,Mobile
500367,13121,2025-10-10 12:17:00,Completed,Card,Tablet
500368,769,2025-08-29 06:14:00,Completed,Apple Pay,Mobile
500369,1626,2025-06-27 12:42:00,Completed,Card,Mobile
500370,594,2025-07-06 11:51:00,Completed,Card,Mobile
500371,8787,2025-11-28 00:40:00,Completed,Apple Pay,Mobile
500372,12551,2025-02-02 04:42:00,Completed,Card,Desktop
500373,12459,2025-01-12 16:01:00,Completed,Card,Desktop
500374,14316,2025-08-31 12:56:00,Completed,Card,Mobile
500375,4903,2025-04-07 01:09:00,Completed,PayPal,Desktop
500376,6805,2025-04-08 11:50:00,Completed,Google Pay,Mobile
500377,6703,2025-01-07 23:09:00,Cancelled,Google Pay,Mobile
500378,2396,2025-07-15 14:29:00,Completed,Card,Mobile
500379,6365,2025-11-17 15:56:00,Returned,Card,Mobile
500380,12177,2025-01-16 01:21:00,Completed,PayPal,Mobile
500381,15036,2025-12-14 02:28:00,Completed,Apple Pay,Desktop
500382,9828,2025-07-26 00:06:00,Completed,Card,Tablet
500383,13225,2025-04-08 03:50:00,Completed,Card,Mobile
500384,7454,2025-08-30 09:56:00,Completed,PayPal,Mobile
500385,13977,2025-11-24 03:12:00,Completed,Apple Pay,Desktop
500386,10249,2025-12-24 20:17:00,Completed,Apple Pay,Desktop
500387,12836,2025-11-15 11:37:00,Completed,Google Pay,Mobile
500388,12014,2025-05-08 05:17:00,Completed,Card,Mobile
500389,5093,2025-01-09 17:27:00,Completed,Card,Mobile
500390,17796,2025-10-19 08:54:00,Completed,Google Pay,Mobile
500391,5486,2025-07-17 10:45:00,Completed,Google Pay,Mobile
500392,12516,2025-08-14 09:12:00,Completed,PayPal,Mobile
500393,11503,2025-09-16 19:04:00,Completed,Card,Mobile
500394,7781,2025-07-05 04:06:00,Completed,Apple Pay,Mobile
500395,3896,2025-12-10 01:25:00,Completed,Card,Mobile
500396,19292,2025-03-04 08:56:00,Completed,Card,Mobile
500397,17374,2025-12-12 12:19:00,Returned,Card,Desktop
500398,5727,2025-06-26 12:02:00,Completed,Card,Mobile
500399,4499,2025-09-13 09:54:00,Completed,Apple Pay,Mobile
500400,10653,2025-01-05 19:32:00,Completed,Card,Mobile
500401,1866,2025-01-14 05:34:00,Completed,Apple Pay,Mobile
500402,14721,2025-07-17 05:38:00,Completed,Apple Pay,Desktop
500403,12081,2025-02-16 08:20:00,Completed,Google Pay,Desktop
500404,12262,2025-06-05 21:09:00,Completed,Apple Pay,Mobile
500405,8639,2025-08-04 13:53:00,Completed,Card,Mobile
500406,12586,2025-01-04 04:43:00,Completed,Card,Desktop
500407,15783,2025-04-20 13:32:00,Completed,Card,Desktop
500408,9211,2025-02-16 02:06:00,Completed,Card,Mobile
500409,10431,2025-05-23 09:10:00,Completed,Card,Mobile
500410,500,2025-12-21 06:39:00,Completed,Google Pay,Mobile
500411,1841,2025-02-26 10:40:00,Completed,Card,Mobile
500412,10256,2025-07-18 08:49:00,Completed,PayPal,Mobile
500413,8247,2025-10-07 12:26:00,Completed,Google Pay,Desktop
500414,9870,2025-01-21 01:47:00,Completed,Card,Mobile
500415,3436,2025-11-06 21:46:00,Completed,Card,Mobile
500416,1133,2025-06-22 05:44:00,Completed,PayPal,Desktop
500417,11359,2025-11-21 20:10:00,Completed,Card,Mobile
500418,8405,2025-04-13 03:13:00,Completed,Apple Pay,Mobile
500419,7873,2025-10-15 18:45:00,Completed,Card,Mobile
500420,10645,2025-01-14 05:11:00,Returned,Google Pay,Mobile
500421,16315,2025-11-27 00:37:00,Cancelled,PayPal,Mobile
500422,19434,2025-04-15 21:19:00,Completed,Google Pay,Mobile
500423,10220,2025-05-31 16:52:00,Completed,PayPal,Desktop
500424,11251,2025-07-12 22:04:00,Completed,Apple Pay,Desktop
500425,17684,2025-09-13 08:21:00,Completed,Apple Pay,Mobile
500426,2519,2025-03-15 16:13:00,Completed,Google Pay,Mobile
500427,12185,2025-11-18 14:42:00,Completed,Card,Desktop
500428,12492,2025-01-01 10:05:00,Completed,PayPal,Mobile
500429,4704,2025-11-14 06:37:00,Completed,Card,Tablet
500430,7844,2025-11-07 10:26:00,Completed,Card,Mobile
500431,7130,2025-02-09 04:07:00,Completed,Card,Mobile
